# Fundamental-mode classical Cepheids in the Large and Small Magellanic Clouds.
# Source: Soszynski et al. 2015 (Acta Astronomica 65, 297), the OGLE-IV Collection of
#   Variable Stars, via VizieR J/AcA/65/297 tables lmccep/smccep for the periods and
#   mean magnitudes and lmcident/smcident for the positions. Downloaded 2026-08-17.
#
# 2315 LMC and 2637 SMC stars: every star the catalogue marks as pulsating in
#   the fundamental mode (Mode = F) with both a mean V and a mean I magnitude. First
#   overtone and multi-mode Cepheids are left out — they follow their own, offset
#   period-luminosity relation and would double the ridge.
#
# period_days is the catalogue period; epoch_max_hjd is its time of maximum light
#   (HJD - 2450000), carried so a light curve can be folded on the same convention.
# mean_v_mag and mean_i_mag are intensity-mean magnitudes, not averaged magnitudes,
#   and they are apparent: no extinction correction has been applied here. The
#   Wesenheit index I - 1.55 (V - I), which is what makes the relation tight, is
#   derived in the scene rather than stored, so the correction stays visible.
# i_amplitude_mag is the peak-to-peak I-band amplitude.
cloud,star,period_days,epoch_max_hjd,mean_v_mag,mean_i_mag,i_amplitude_mag,ra_deg,dec_deg
LMC,OGLE-LMC-CEP-0266,3.2791229,6000.84533,16.538,15.672,0.325,73.254417,-68.540333
LMC,OGLE-LMC-CEP-0267,2.7908309,6001.32813,16.560,15.745,0.457,73.262125,-68.907889
LMC,OGLE-LMC-CEP-0269,3.8194537,6003.57699,15.790,15.115,0.626,73.287208,-70.137806
LMC,OGLE-LMC-CEP-0270,3.6017995,6001.62985,15.746,15.156,0.283,73.288583,-68.211250
LMC,OGLE-LMC-CEP-0272,2.9518565,6001.37946,16.160,15.441,0.501,73.294958,-67.011444
LMC,OGLE-LMC-CEP-0273,3.1183773,6001.71558,16.131,15.414,0.397,73.295500,-67.605861
LMC,OGLE-LMC-CEP-0274,4.5257248,6002.06387,15.606,14.891,0.663,73.297042,-69.041611
LMC,OGLE-LMC-CEP-0275,3.0778447,6000.41831,16.365,15.572,0.236,73.306333,-69.652333
LMC,OGLE-LMC-CEP-0280,3.2616772,6001.00218,16.137,15.390,0.382,73.329875,-66.933472
LMC,OGLE-LMC-CEP-0281,2.5917022,6001.41411,17.075,16.154,0.387,73.341083,-69.155583
LMC,OGLE-LMC-CEP-0282,2.8230771,6001.84796,16.592,15.783,0.395,73.349417,-68.539222
LMC,OGLE-LMC-CEP-0285,2.3073483,6000.79479,16.703,15.900,0.418,73.369083,-69.029833
LMC,OGLE-LMC-CEP-0286,3.1335144,6001.07248,15.943,15.065,0.331,73.371792,-66.954000
LMC,OGLE-LMC-CEP-0289,1.4626671,6000.86507,17.126,16.441,0.464,73.382375,-69.281611
LMC,OGLE-LMC-CEP-0290,4.2442406,6000.31645,15.723,14.948,0.255,73.389917,-67.368806
LMC,OGLE-LMC-CEP-0291,3.7621000,6002.79291,16.086,15.294,0.478,73.390625,-69.759333
LMC,OGLE-LMC-CEP-0292,7.3989600,6002.56677,14.830,14.104,0.552,73.395958,-66.648611
LMC,OGLE-LMC-CEP-0293,3.1478085,6001.07567,16.216,15.415,0.436,73.401750,-68.648750
LMC,OGLE-LMC-CEP-0295,2.7857060,6001.33146,16.315,15.565,0.594,73.404000,-68.364583
LMC,OGLE-LMC-CEP-0296,3.6867496,6002.29039,16.135,15.319,0.371,73.408958,-68.667278
LMC,OGLE-LMC-CEP-0299,3.4613222,6002.99920,16.036,15.277,0.491,73.427917,-70.386361
LMC,OGLE-LMC-CEP-0301,3.3461852,6003.14749,16.354,15.531,0.511,73.440167,-69.391250
LMC,OGLE-LMC-CEP-0303,1.5268645,6001.27829,17.506,16.735,0.540,73.444458,-68.538333
LMC,OGLE-LMC-CEP-0304,3.6523152,6002.00508,16.141,15.355,0.374,73.445458,-69.320278
LMC,OGLE-LMC-CEP-0306,6.8868598,6003.96793,15.173,14.342,0.568,73.457333,-69.568278
LMC,OGLE-LMC-CEP-0308,6.7758303,6003.33561,15.512,14.673,0.180,73.504708,-69.314389
LMC,OGLE-LMC-CEP-0313,3.0979811,6000.29524,16.353,15.560,0.397,73.523417,-68.925333
LMC,OGLE-LMC-CEP-0316,3.7351840,6002.39563,15.865,15.114,0.464,73.553833,-67.825111
LMC,OGLE-LMC-CEP-0317,3.1174674,6002.29972,16.418,15.615,0.322,73.557375,-68.034861
LMC,OGLE-LMC-CEP-0319,2.5917080,6001.30031,16.303,15.564,0.456,73.561500,-69.037194
LMC,OGLE-LMC-CEP-0321,3.2957906,6002.19035,16.225,15.446,0.507,73.578208,-68.844944
LMC,OGLE-LMC-CEP-0322,2.3834772,6001.72380,16.296,15.682,0.522,73.587333,-68.064000
LMC,OGLE-LMC-CEP-0324,3.1905892,6000.37888,17.112,16.056,0.508,73.590583,-69.228417
LMC,OGLE-LMC-CEP-0325,3.1928315,6000.27893,16.299,15.495,0.424,73.590542,-69.794444
LMC,OGLE-LMC-CEP-0328,34.4486189,6030.97413,13.124,12.088,0.614,73.599000,-70.901611
LMC,OGLE-LMC-CEP-0329,3.9275402,6001.33261,15.797,15.091,0.455,73.601542,-70.923389
LMC,OGLE-LMC-CEP-0331,6.8705819,6002.74913,15.452,14.491,0.345,73.617125,-68.498444
LMC,OGLE-LMC-CEP-0332,4.2960383,6002.69946,15.483,14.684,0.248,73.640375,-70.326750
LMC,OGLE-LMC-CEP-0333,5.5496704,6000.57522,15.613,14.762,0.416,73.652000,-71.256722
LMC,OGLE-LMC-CEP-0335,2.8707566,6000.51521,16.332,15.626,0.353,73.658833,-68.072500
