# ATNF Pulsar Catalogue periods and characteristic ages.
# Source: Manchester, Hobbs, Teoh & Hobbs 2005, AJ 129, 1993,
#   VizieR B/psr (CDS catalogue B/psr).
#   https://cdsarc.cds.unistra.fr/viz-bin/cat/B/psr
# Downloaded 2026-08-17 via VizieR Harvard.
#
# One row per pulsar that has both a barycentric period P0 and a
#   characteristic age Age = P/(2Pdot). Pulsars without a measured
#   spin-down are omitted. VizieR B/psr does not publish Pdot as a
#   column; the film recovers it as P / (2 tau).
# Age is in years as tabulated. Edot is the catalogue spin-down
#   luminosity in erg/s. dm_pc_cm3 and distance_kpc are blank when
#   the catalogue has no value.
# This is the 2005 VizieR snapshot, not a live ATNF query.
jname,period_s,dm_pc_cm3,distance_kpc,age_yr,edot_erg_s
J0849-6322,0.36795325630700,91.290000,8.35,7370000.0,6.300e+32
J0855-3331,1.26753570275600,86.635000,1.21,3180000.0,1.200e+32
J0855-4644,0.06468613082520,238.200000,9.90,141000.0,1.100e+36
J0855-4658,0.57507238258000,472.700000,28.35,669000.0,2.800e+33
J0856-6137,0.96250855730000,95.000000,6.53,9090000.0,7.400e+31
J0857-4424,0.32677421007900,184.429000,6.53,222000.0,2.600e+34
J0900-3144,0.01110964915739,75.702000,0.82,3580000000.0,1.400e+33
J0901-4624,0.44199513078600,198.800000,7.46,80000.0,4.000e+34
J0902-6325,0.66031337150000,76.000000,4.44,97800000.0,1.500e+31
J0904-4246,0.96517099870000,145.800000,4.37,8100000.0,8.300e+31
J0904-7459,0.54955311909000,51.100000,4.41,18800000.0,1.100e+32
J0905-4536,0.98828059740000,179.700000,6.35,105000000.0,6.100e+30
J0905-5127,0.34628743677900,196.432000,8.38,220000.0,2.400e+34
J0905-6019,0.34085417654200,91.400000,4.40,10300000.0,5.200e+32
J0907-5157,0.25355601501100,103.720000,2.63,2190000.0,4.400e+33
J0908-1739,0.40162562344216,15.879000,1.01,9500000.0,4.100e+32
J0908-4913,0.10675459250000,180.370000,1.00,112000.0,4.900e+35
J0909-7212,1.36288995420000,54.300000,4.00,64800000.0,5.200e+30
J0912-3851,1.52608507600000,70.000000,0.62,6740000.0,4.000e+31
J0919-6040,1.21697572300000,82.500000,3.54,1930000000.0,2.200e+29
J0921+6254,1.56799401848000,13.158000,0.79,6890000.0,3.700e+31
J0922+0638,0.43062709892800,27.298600,1.10,497000.0,6.800e+33
J0922-4949,0.95028853702800,237.100000,10.37,154000.0,4.500e+33
