# Single-mode RR Lyrae stars in the Large and Small Magellanic Clouds.
# Source: Soszynski et al. 2016 (Acta Astronomica 66, 131), the OGLE-IV Collection of
#   Variable Stars, via VizieR J/AcA/66/131 tables lmcrrabc/smcrrabc. Downloaded 2026-08-17.
#
# RRab (fundamental mode) and RRc (first overtone) only. Double-mode RRd and
#   anomalous aRRd stars are left out — they pulsate in two periods at once and
#   would smear both the Bailey diagram and the period–luminosity ridge.
# Every star has an intensity-mean V and I magnitude and an I-band amplitude.
#   Mean magnitudes are apparent: no extinction correction has been applied.
#   The Wesenheit index I - 1.55 (V - I) is derived in the scene, not stored.
#
# period_days is the catalogue period; epoch_max_hjd is its time of maximum
#   light (HJD - 2450000). i_amplitude_mag is peak-to-peak I-band amplitude.
# One row per star.
cloud,star,type,period_days,epoch_max_hjd,mean_v_mag,mean_i_mag,i_amplitude_mag
LMC,OGLE-LMC-RRLYR-00223,RRab,0.4850531,6000.14392,19.329,18.911,0.391
LMC,OGLE-LMC-RRLYR-00224,RRab,0.6191645,6000.13180,19.689,19.081,0.214
LMC,OGLE-LMC-RRLYR-00225,RRab,0.6058517,6000.23760,19.135,18.605,0.515
LMC,OGLE-LMC-RRLYR-00227,RRc,0.3155325,6000.21258,19.241,18.872,0.358
LMC,OGLE-LMC-RRLYR-00228,RRab,0.5646512,6000.48045,19.520,18.875,0.534
LMC,OGLE-LMC-RRLYR-00229,RRab,0.5612599,6000.11140,19.260,18.754,0.698
LMC,OGLE-LMC-RRLYR-00230,RRab,0.5913296,6000.37053,19.161,18.620,0.597
LMC,OGLE-LMC-RRLYR-00231,RRab,0.6732659,6000.44365,19.328,18.704,0.520
LMC,OGLE-LMC-RRLYR-00232,RRab,0.5792621,6000.21739,19.469,18.847,0.553
LMC,OGLE-LMC-RRLYR-00233,RRc,0.3691560,6000.35614,19.156,18.734,0.293
LMC,OGLE-LMC-RRLYR-00234,RRab,0.5579761,6000.03228,19.673,19.029,0.414
LMC,OGLE-LMC-RRLYR-00235,RRab,0.6054467,6000.32697,19.298,18.713,0.502
LMC,OGLE-LMC-RRLYR-00236,RRab,0.5775327,6000.17785,19.429,18.839,0.588
LMC,OGLE-LMC-RRLYR-00237,RRc,0.2486884,6000.17286,19.572,19.215,0.112
LMC,OGLE-LMC-RRLYR-00238,RRab,0.7263411,6000.56538,19.283,18.626,0.317
LMC,OGLE-LMC-RRLYR-00239,RRab,0.5113321,6000.50753,19.532,19.017,0.781
LMC,OGLE-LMC-RRLYR-00240,RRab,0.7313028,6000.29311,19.102,18.478,0.284
LMC,OGLE-LMC-RRLYR-00241,RRab,0.6104153,6000.26140,19.313,18.672,0.582
